date,ticker,money,price,shares,total ,fees,sharpe
2024-01-10,WBA,2.3032862205778954,33.85314178466797,0,0.0,125.72,4.627737392105652
2024-01-10,WMT,2.3032862205778954,47.56122970581055,0,0.0,125.72,4.627737392105652
2024-01-11,AAPL,2.3032862205778954,132.57882690429688,0.0,0.0,125.72,6.117195153517685
2024-01-11,AMGN,2.3032862205778954,261.72186279296875,0,0.0,125.72,6.117195153517685
2024-01-11,AXP,2.3032862205778954,151.71231079101562,0.0,0.0,125.72,6.117195153517685
2024-01-11,BA,2.3032862205778954,208.02999877929688,0,0.0,125.72,6.117195153517685
2024-01-11,CAT,2.3032862205778954,244.56703186035156,0,0.0,125.72,6.117195153517685
2024-01-11,CRM,2.3032862205778954,144.89999389648438,100.0,14489.999389648438,125.72,6.117195153517685
2024-01-11,CSCO,2.3032862205778954,47.75632095336914,101.0,4823.388416290283,125.72,6.117195153517685
2024-01-11,CVX,2.3032862205778954,166.75686645507812,0,0.0,125.72,6.117195153517685
2024-01-11,DIS,2.3032862205778954,96.01707458496094,0.0,0.0,125.72,6.117195153517685
2024-01-11,GS,2.3032862205778954,350.79718017578125,0,0.0,125.72,6.117195153517685
2024-01-11,HD,2.3032862205778954,318.18975830078125,0,0.0,125.72,6.117195153517685
2024-01-11,HON,2.3032862205778954,206.5780792236328,0.0,0.0,125.72,6.117195153517685
2024-01-11,IBM,2.3032862205778954,137.13673400878906,1.0,137.13673400878906,125.72,6.117195153517685
2024-01-11,INTC,2.3032862205778954,29.083938598632812,0,0.0,125.72,6.117195153517685
2024-01-11,JNJ,2.3032862205778954,168.4505615234375,0,0.0,125.72,6.117195153517685
2024-01-11,JPM,2.3032862205778954,135.75277709960938,100.0,13575.277709960938,125.72,6.117195153517685
2024-01-11,KO,2.3032862205778954,60.11346054077149,100.0,6011.346054077149,125.72,6.117195153517685
2024-01-11,MCD,2.3032862205778954,261.37188720703125,0,0.0,125.72,6.117195153517685
